SURV,BASIN,SEGMENT,ZONE,DATE,TIME,STATION,SITE,LATDEC,LOEC,DEPTH,NOX-S,NOX-B,NO3_S,NO3_B,NO2-S,NO2-B,NH4-S,NH4-B,TN-S,TN-B,DIN-S,DIN-B,TON-S,TON-B,TP-S,TP-B,SRP-S,SRP-B,APA-S,APA-B,CHLA-S,CHLA-B,TOC-S,TOC-B,SiO2-S,SiO2-B,TURB-S,TURB-B,SAL-S,SAL-B,TEMP-S,TEMP-B,DO-S,DO-B,Kd,pH,TN:TP,N:P,DIN:TP,Si:DIN,%SAT-S,%SAT_B,%Io,DSIGT
11,FK,OFF,REEF,1/26/1998,,256,Bahia Honda Offshore,24.585,-81.2341,17.5,0.1801,0.1201,0.1351,0.0875,0.045,0.0325,0.2726,0.3101,9.3723,8.9021,0.4527,0.4302,8.9196,8.4719,0.1674,0.2073,0.005,0.0075,0.0286,0.0383,0.7,,108.43,107.47,0.4514,0.4865,0.15,0.35,36.1,36.1,22.9,22.8,6.5,6.5,0.09,,56.001,90.62,2.705,0.993,93.121,93.007,19.645,0.032
12,FK,OFF,REEF,5/20/1998,9:03,256,Bahia Honda Offshore,24.585,-81.2341,24,0.01,0.0925,,,0.01,0.025,0.05,0.025,8.0239,8.2432,0.06,0.1176,7.9639,8.1257,0.2298,0.2148,,0.0025,0.0317,0.031,0.14,,186.06,181.39,,,0.04,0.09,35.8,36.3,26,25.6,6.3,6.1,0.06,,34.916,,0.261,,93.22,90.187,24.555,0.516
13,FK,OFF,REEF,8/2/1998,9:47,256,Bahia Honda Offshore,24.585,-81.2341,27.5,0.025,1.5441,,,0.025,0.06,0.5478,0.607,9.5723,8.5534,0.5728,2.151,8.9995,6.4023,0.1299,0.1299,,0.01,0.0452,0.0425,0.27,,180.45,185.1,0.4213,0.3736,0.17,0.16,34.5,34.5,30.4,30,5.6,4.5,0.12,,73.675,,4.408,0.733,85.26,68.322,3.865,0.164
14,FK,OFF,REEF,11/1/1998,,256,Bahia Honda Offshore,24.585,-81.2341,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FK,OFF,REEF,1/20/1999,9:30,256,Bahia Honda Offshore,24.585,-81.2341,29.5,0.0075,0.08,,,0.0075,0.015,0.2026,0.3452,4.795,5.2601,0.2101,0.4252,4.5849,4.8349,0.1324,0.1848,,,0.0251,0.0273,0.27,,112.68,118.38,0.2909,0.835,0.06,0.2,36.22,36.16,24.52,24.01,6.34,6.31,0.09,,36.219,,1.587,1.38,92.671,91.565,6.684,0.13
16,FK,OFF,REEF,5/19/1999,9:32,256,Bahia Honda Offshore,24.585,-81.2341,13.5,0.04,0.0375,,,0.04,0.0375,0.6528,0.4636,11.5837,9.3766,0.6928,0.5011,10.8909,8.8755,0.1827,0.1826,0.0275,0.005,0.039,0.0581,,,112.85,138.83,0.0878,1.2864,0.29,0.33,36.24,36.56,27.21,27.39,6.12,5.96,0.15,,63.396,25.215,3.792,0.126,91.856,89.78,13.415,0.17
17,FK,OFF,REEF,8/11/1999,10:30,256,Bahia Honda Offshore,24.585,-81.2341,29.5,0.01,0.0328,,,0.01,0.01,0.0575,0.065,10.5063,11.2541,0.0675,0.0978,10.4388,11.1564,0.2398,0.2231,,,0.1781,0.1205,0.48,,282,269.14,0.0025,,0.19,0.17,36.35,36.31,30.91,30.51,6.37,5.19,0.13,,43.813,,0.282,0.037,98.435,79.972,2.258,0.138
18,FK,OFF,REEF,12/15/1999,11:07,256,Bahia Honda Offshore,24.585,-81.2341,23,0.9329,1.1005,0.8804,1.0855,0.0525,0.015,0.4277,0.2451,11.5637,11.5832,1.3607,1.3456,10.2031,10.2375,0.1273,0.1171,0.03,0.0175,0.0248,0.0239,0.4,,162.79,163.52,0.7799,0.7272,0.55,0.24,36,36.04,25.03,24.88,5.21,5.21,0.12,,90.826,45.393,10.687,0.571,76.426,76.324,6.003,0.082
19,FK,OFF,REEF,3/23/2000,10:16,256,Bahia Honda Offshore,24.585,-81.2341,29.5,0.6125,0.8826,,,,,,,2.5776,1.7394,,,,,0.401,0.2952,0.0375,0.0175,0.0232,0.0223,1.05,,150.84,150.09,0.2658,0.3486,0.15,0.18,36.2,36.21,24.94,23.95,5.8,5.45,0.61,,6.427,,,,85.054,79.14,0,0.344
20,FK,OFF,REEF,6/29/2000,11:17,256,Bahia Honda Offshore,24.585,-81.2341,27.5,0.9955,1.304,0.9459,1.2615,0.0496,0.0424,0.2266,0.1394,3.2828,2.9919,1.2221,1.4434,2.0607,1.5486,0.2648,0.2623,0.0844,0.0907,0.0362,0.0449,0.1,,163.33,167.65,,,0.08,0.12,36.29,36.32,28.82,28.79,5.08,5.26,0.7,,12.398,14.485,4.616,,77.266,80.047,0,0.027
21,FK,OFF,REEF,9/13/2000,10:36,256,Bahia Honda Offshore,24.585,-81.2341,27.5,0.9179,1.008,0.8646,0.978,0.0534,0.03,0.4227,0.2401,14.3559,12.6407,1.3406,1.2481,13.0153,11.3926,0.1978,0.1873,0.1599,0.1749,0.0422,0.0501,0.07,,140.92,136.02,0.0301,0.0301,0.04,0.05,36.04,36.25,30.07,29.93,5.76,5,0.1,,72.566,8.386,6.777,0.022,88.34,76.709,5.727,0.213
22,FK,OFF,REEF,11/29/2000,10:58,256,Bahia Honda Offshore,24.585,-81.2341,22,0.1434,0.0434,,,0.1434,0.0434,0.1167,0.1434,23.6253,15.0412,0.2601,0.1868,23.3652,14.8545,0.1848,0.1574,,,0.0295,0.028,0.36,,173.2,172.28,0.0953,0.0853,0.21,0.08,36.4,36.4,25.2,25.2,6.5,7,,,127.813,,1.407,0.365,95.767,103.133,,0
23,FK,OFF,REEF,1/30/2001,9:59,256,Bahia Honda Offshore,24.585,-81.2341,26.5,0.05,0.3527,0.0186,0.3089,0.0315,0.0437,0.2101,0.2501,6.1649,5.8053,0.2601,0.6028,5.9048,5.2025,0.2523,0.2823,0.03,0.05,0.0411,0.1473,0.01,,121.16,143.29,0.3435,0.6567,0.14,0.24,36.6,36.8,23.2,22,6.1,6.1,,,24.436,8.678,1.031,1.316,87.995,86.808,,0.531
24,FK,OFF,REEF,6/26/2001,15:08,256,Bahia Honda Offshore,24.585,-81.2341,43.8,0.075,0.1201,0.0617,0.1,0.0133,0.02,0.1701,0.0975,7.3182,6.036,0.2451,0.2176,7.0731,5.8184,0.0974,0.0824,0.03,0.0275,0.066,0.0524,,,194.92,180.74,0.9295,0.1404,0.08,0.11,36.6,36.7,29.2,29.5,5.1,5.5,,,75.122,8.177,2.516,3.779,77.996,84.355,,-0.047
25,FK,OFF,REEF,9/12/2001,11:34,256,Bahia Honda Offshore,24.585,-81.2341,14.8,0.443,0.3009,0.423,0.2756,0.02,0.0253,0.3302,0.2595,4.3106,5.6882,0.7731,0.5604,3.5375,5.1278,0.1324,0.1199,0.035,0.0719,0.0529,0.0557,0.19,,171.54,198.55,0.5116,2.1365,0.25,0.53,36.1,36.4,29.9,29.8,4.8,4.5,,,32.56,22.108,5.84,0.659,73.556,69.039,,0.263
26,FK,OFF,REEF,12/12/2001,14:00,256,Bahia Honda Offshore,24.585,-81.2341,21.25,0.0614,0.0155,0.0437,,0.0177,0.0155,0.1589,0.0402,14.1128,13.8099,0.2202,0.0557,13.8926,13.7542,0.0825,0.0739,0.0197,0.0078,0.0314,0.0245,0.25,,139.37,132.81,0.254,0.1901,0.15,0.07,36.14,36.16,25.76,25.76,6,5.56,,,171.002,11.208,2.669,1.149,88.761,82.263,,0.015
27,FK,OFF,REEF,3/27/2002,11:36,256,Bahia Honda Offshore,24.585,-81.2341,29.5,0.0323,,0.0229,,0.0093,,0.0795,,8.7493,9.5878,0.1118,,8.6376,,0.1803,0.1816,0.0333,,0.0314,0.029,0.14,,99.36,96.11,,0.1498,0.18,0.23,36.1,35.89,24.88,22.37,6.55,7.09,,,48.514,3.357,0.62,,95.991,100.769,,0.667
28,FK,OFF,REEF,5/8/2002,13:26,256,Bahia Honda Offshore,24.585,-81.2341,25.75,0.0136,0.017,,,0.0136,0.0164,0.215,0.0985,17.8255,23.8091,0.2286,0.1155,17.5969,23.6936,0.4707,1.1803,,,0.0453,0.1048,0.12,,146.57,149.24,0.2165,0.9148,0.09,0.15,36.11,36,27.47,27.48,5.21,5.43,,,37.868,,0.486,0.944,78.314,81.571,,-0.086
29,FK,OFF,REEF,9/11/2002,10:37,256,Bahia Honda Offshore,24.585,-81.2341,21,0.2015,0.5695,0.1861,0.5197,0.0154,0.0498,0.4383,0.755,4.9711,3.9405,0.6398,1.3245,4.3314,2.6159,0.3747,0.2168,0.0455,0.0553,0.0486,0.0349,0.19,,149.95,135.41,0.2833,0.0509,0.75,0.82,36.2,36.22,29.34,29.28,5.49,5.37,0.21,,13.268,14.05,1.708,0.441,83.822,81.98,1.19,0.041
30,FK,OFF,REEF,11/6/2002,11:09,256,Bahia Honda Offshore,24.585,-81.2341,18.5,0.0729,0.07,0.0381,0.0228,0.0348,0.0473,0.2634,0.3168,6.1202,,0.3362,0.3869,5.784,,0.1031,0.0799,0.074,0.0564,0.0263,0.0861,0.07,,109.12,170.23,0.574,,0.11,0.15,36.26,36.26,28.14,28.06,5.41,5.48,0.08,,59.355,4.541,3.261,1.701,81.868,82.871,24.512,0.03
31,FK,OFF,REEF,3/5/2003,10:43,256,Bahia Honda Offshore,24.585,-81.2341,29.5,0.2127,0.311,0.1632,0.2251,0.0495,0.0858,0.2709,0.2325,9.8447,7.5665,0.4836,0.5435,9.3612,7.023,0.1011,0.1657,0.0744,0.046,0.0296,0.0198,0.28,,156.43,123.51,2.0905,4.4471,0.5,1.23,35.71,36.23,25.48,19.53,5.76,6.19,0.1,,97.41,6.501,4.785,4.308,84.69,84.809,5.718,2.263
32,FK,OFF,REEF,6/4/2003,13:26,256,Bahia Honda Offshore,24.585,-81.2341,1.5,0.1073,0.409,0.0898,0.3899,0.0175,0.0192,0.1277,0.167,11.2509,11.4646,0.235,0.5761,11.0159,10.8885,0.3737,0.5116,0.049,0.1052,0.1501,0.0622,0.07,,104.8,102.38,0.1387,0.0367,0.23,0.25,36.35,36.35,29.48,29.48,3.08,3.08,,,30.108,4.795,0.629,0.588,47.129,47.129,,0
33,FK,OFF,REEF,10/1/2003,12:51,256,Bahia Honda Offshore,24.585,-81.2341,33.5,0.1903,0.1622,0.1791,0.1372,0.0112,0.025,0.2631,0.3104,16.3524,20.4739,0.4533,0.4726,15.8991,20.0013,0.1853,0.1366,0.054,0.0396,0.0219,0.0233,0.24,,130.64,134.37,0.2509,0.3294,0.04,0.06,35.61,35.65,29.74,29.55,6.22,6.24,0.07,,88.228,8.394,2.446,0.551,94.916,95.113,11.332,0.106
34,FK,OFF,REEF,11/12/2003,12:40,256,Bahia Honda Offshore,24.585,-81.2341,10.8,0.1129,0.126,0.0755,0.0707,0.0374,0.0554,0.049,0.1079,13.8666,15.2751,0.1619,0.2339,13.7047,15.0412,0.1142,0.1571,0.0083,0.0187,0.035,0.0319,0.57,,97.57,92.23,0.4464,0.4276,0.16,0.4,35.95,35.97,27.28,27.24,6.26,6.35,0.09,,121.474,19.557,1.418,2.747,93.768,95.17,36.233,0.03
35,FK,OFF,REEF,4/1/2004,11:16,256,Bahia Honda Offshore,24.585,-81.2341,41,0.2101,0.3086,0.0649,0.0758,0.1453,0.2328,0.5331,0.8973,24.9923,25.8646,0.7432,1.2059,24.2491,24.6587,0.0739,0.0598,0.0097,0.0123,0.0313,0.0345,0.1,,88.69,107.85,0.248,0.3693,0.23,0.25,36.31,36.34,24.66,24.1,7.03,6.28,,,338.368,76.856,10.062,0.333,102.965,91.335,,0.214
36,FK,OFF,REEF,5/28/2004,11:06,256,Bahia Honda Offshore,24.585,-81.2341,32,0.0813,0.362,0.0203,0.301,0.061,0.061,0.1396,0.1202,18.3408,20.8341,0.2209,0.4822,18.1199,20.3519,0.5009,0.3074,0.0304,0.0324,0.0198,0.0237,,,133.81,124.57,0.2779,0.3509,0.09,0.2,36.44,36.43,26.59,25.96,6.26,5.97,0.3,,36.617,7.276,0.441,1.253,93.59,88.614,0.007,0.22
37,FK,OFF,REEF,8/4/2004,10:57,256,Bahia Honda Offshore,24.585,-81.2341,40.2,0.0618,0.1206,0.044,0.0891,0.0178,0.0314,0.1825,0.1768,4.5915,4.5558,0.2443,0.2973,4.3472,4.2584,0.1197,0.1244,0.0052,0.0152,0.0542,0.0644,0.02,,102.3,95.17,,0.1179,0.19,0.14,36.27,36.16,30.23,29.13,6.65,5.63,,,38.365,47.395,2.041,,102.254,85.805,,0.368
38,FK,OFF,REEF,10/27/2004,12:37,256,Bahia Honda Offshore,24.585,-81.2341,37,0.2335,0.0928,0.2014,0.0767,0.0321,0.0161,0.1166,0.0902,22.7508,7.6834,0.35,0.183,22.4007,7.5004,0.1263,0.1301,0.0368,0.0297,0.0426,0.045,0.04,,128.34,120.46,0.3137,0.2884,0.15,0.17,36.06,36.01,27.73,27.76,5.8,5.75,0.2,,180.09,9.512,2.771,0.893,87.401,86.558,0.055,-0.048
39,FK,OFF,REEF,1/26/2005,12:54,256,Bahia Honda Offshore,24.585,-81.2341,48,0.0933,0.0399,0.0648,0.0057,0.0285,0.0342,0.2635,0.1318,7.8821,8.8493,0.3569,0.1717,7.5253,8.6776,0.1016,0.1246,0.0285,0.0365,0.0229,0.0276,0.03,,89.7,106.34,0.0675,0.4313,0,0.1,36.51,36.46,23.26,22.53,6.33,6.37,0.05,,77.602,12.523,3.513,0.189,91.391,91.062,7.603,0.202
40,FK,OFF,REEF,5/5/2005,10:25,256,Bahia Honda Offshore,24.585,-81.2341,28,0.043,0.1422,0.0183,0.1157,0.0246,0.0265,0.1298,0.0817,13.0476,39.4034,0.1727,0.2239,12.8749,39.1795,0.1423,0.1198,0.037,0.0572,0.0569,0.0462,0.13,,118.96,180.85,0.4993,0.3802,0.26,0.17,36.59,36.52,26.06,25.98,5.76,5.23,,,91.704,4.664,1.214,2.88,85.773,77.702,,-0.024
41,FK,OFF,REEF,8/3/2005,10:45,256,Bahia Honda Offshore,24.585,-81.2341,34,0.2584,0.1339,0.2248,0.0801,0.0336,0.0538,0.9116,0.3055,8.0718,7.9464,1.17,0.4394,6.9018,7.507,0.1459,0.1612,0.0332,0.0262,,,,,94.15,91.85,1.1322,0.3004,0.05,0.02,36.14,36,30.51,28.71,5.11,5.45,0.06,,55.318,35.291,8.018,0.964,78.634,82.763,11.067,0.629
42,FK,OFF,REEF,12/7/2005,11:38,256,Bahia Honda Offshore,24.585,-81.2341,17,0.2974,0.6596,0.1571,0.4831,0.1403,0.1765,0.4536,0.5087,15.2671,3.3099,0.751,1.1683,14.5161,2.1416,0.2862,0.3221,0.0446,0.052,0.0464,0.035,0.68,,116.65,126.55,0.5838,1.137,0.17,0.33,35.59,35.71,24.66,24.29,4.81,5.24,0.15,,53.341,16.828,2.624,0.775,70.075,76.172,8.106,0.216
43,FK,OFF,REEF,3/28/2006,11:16,256,Bahia Honda Offshore,24.585,-81.2341,18,0.0323,0.0285,0.0133,0.0239,0.019,0.0047,2.8629,1.2522,6.2303,6.6591,2.8952,1.2807,3.3351,5.3785,0.1858,0.1981,0.0329,0.019,0.0553,0.058,,,93.23,109.56,0.004,0.068,0.99,0.95,36.2,36.2,24.2,24.2,5.48,5.45,0.03,,33.531,88.034,15.582,0.001,79.787,79.365,60.913,0.002
44,FK,OFF,REEF,5/31/2006,11:45,256,Bahia Honda Offshore,24.585,-81.2341,26,0.0505,0.0187,0.0396,,0.0109,0.0187,0.2376,0.1295,6.2663,5.9976,0.2881,0.1481,5.9781,5.8495,0.2282,0.2158,0.0655,0.0237,0.0603,0.0352,0.1,,108.14,93.31,0.0876,0.0116,0.87,0.81,36.51,36.48,27.93,26.55,3.36,3.69,0.01,,27.457,4.398,1.262,0.303,50.863,55.165,83.555,0.502
45,FK,OFF,REEF,9/27/2006,10:12,256,Bahia Honda Offshore,24.585,-81.2341,23,0.1879,0.1188,0.1474,0.0901,0.0405,0.0287,2.82,0.2416,4.8068,4.1782,3.0079,0.3604,1.7989,3.8178,0.1503,0.1498,0.032,0.0322,0.0823,0.0678,,,104.28,100.92,0.0722,0.0652,1.25,1.23,36.12,36.15,30.16,29.91,5.18,5.5,0.06,,31.971,94.005,20.006,0.024,79.512,84.379,27.844,0.126
46,FK,OFF,REEF,12/13/2006,10:25,256,Bahia Honda Offshore,24.585,-81.2341,14,0.2945,0.1876,0.2466,0.1435,0.0479,0.0441,1.3078,1.0644,9.1603,8.2875,1.6024,1.252,7.5579,7.0355,0.2644,0.263,0.0123,0.0337,0.0578,0.0439,0.22,,110.45,107.2,3.1867,2.5593,0.7,0.76,36.41,36.45,24.04,23.65,4.62,4.8,0.08,,34.65,130.156,6.061,1.982,67.266,69.511,32.351,0.165
47,FK,OFF,REEF,2/22/2007,11:18,256,Bahia Honda Offshore,24.585,-81.2341,27,0.7014,0.2503,0.6265,0.2132,0.0748,0.0371,0.6374,0.9927,5.5396,6.2573,1.3388,1.243,4.2008,5.0144,0.1658,0.2049,0.0369,0.1224,,,0.21,,89.89,116.1,0.1066,1.385,0.4,0.42,36.29,36.3,22.86,22.76,4.02,4.2,0.02,,33.412,36.297,8.075,0.079,57.649,60.089,65.396,0.043
48,FK,OFF,REEF,6/12/2007,10:14,256,Bahia Honda Offshore,24.585,-81.2341,42,0.0928,0.1465,0.0394,0.1232,0.0534,0.0233,0.5259,0.5116,9.6658,11.3176,0.6187,0.6581,9.0471,10.6596,0.4581,0.3117,0.2218,0.0208,,,0.02,,130.89,106.43,0.1332,0.112,0.13,0.38,34.82,36.24,28.02,27.14,3.44,3.7,0.11,,21.1,2.79,1.351,0.214,51.516,55.53,1.208,1.388
49,FK,OFF,REEF,8/24/2007,10:55,256,Bahia Honda Offshore,24.585,-81.2341,29,0.8151,0.099,0.7909,0.0668,0.0242,0.0322,0.2696,0.3341,12.1459,10.9484,1.0847,0.4331,11.0612,10.5153,0.1251,0.1758,0.0272,0.0339,,,0.07,,95.79,92.25,,0.1905,0.2,0.22,36,36.06,30.06,29.89,5.56,4.89,0.05,,97.102,39.837,8.672,,85.188,74.861,23.841,0.115
50,FK,OFF,REEF,10/25/2007,11:54,256,Bahia Honda Offshore,24.585,-81.2341,49,0.4008,0.3183,0.3748,0.2927,0.0261,0.0256,0.072,0.1606,9.874,9.1699,0.4728,0.4789,9.4011,8.691,0.134,0.1387,0.0395,0.0483,,,0.16,,91.27,91.56,0.2218,0.2446,0.1,0.04,36.05,36.12,28.58,28.48,6.09,6.09,0.01,,73.663,11.965,3.528,0.467,92.363,92.328,51.861,0.095
51,FK,OFF,REEF,1/31/2008,10:50,256,Bahia Honda Offshore,24.585,-81.2341,12.68,0.0519,0.1235,0.0256,0.0891,0.0263,0.0344,0.6362,0.5768,6.0857,6.6374,0.6881,0.7003,5.3975,5.9371,0.2023,0.2102,0.0768,0.0414,,,0.19,,74.86,72.67,0.4022,0.2158,0.43,3.35,36.39,36.63,23.08,21.89,6.93,7.06,0.19,,30.082,8.963,3.401,0.582,99.641,100.279,9.068,0.558
52,FK,OFF,REEF,6/4/2008,11:02,256,Bahia Honda Offshore,24.585,-81.2341,19.33,0.1291,0.188,0.0807,0.1777,0.0484,0.0103,0.1385,0.1905,7.7193,9.4018,0.2676,0.3785,7.4517,9.0234,0.4222,0.4206,0.0431,0.0575,,,0.16,,73.59,77.72,0.0394,0.2987,0.26,1.2,36.75,37.61,28.55,29.24,6.31,6.21,0.12,,18.283,6.204,0.634,0.147,96.033,95.541,10.341,0.356
53,FK,OFF,REEF,8/12/2008,14:27,256,Bahia Honda Offshore,24.585,-81.2341,22.55,0.1193,0.0483,0.0972,0.0326,0.0221,0.0157,0.1312,0.088,13.587,12.4029,0.2505,0.1363,13.3365,12.2667,0.1703,0.2035,0.0608,0.0446,,,0.2,,84.22,87.16,0.4023,0.4874,0.34,0.59,36.28,36.39,29.94,28.68,6.18,6.3,0.06,,79.785,4.123,1.471,1.6,94.879,95.899,24.392,0.586
54,FK,OFF,REEF,12/6/2008,15:03,256,Bahia Honda Offshore,24.585,-81.2341,31.58,0.026,0.108,0.0182,0.0852,0.0078,0.0228,0.1166,0.1311,10.4751,9.2036,0.1426,0.2391,10.3325,8.9645,0.2618,0.2452,0.0252,0.0341,,,0.33,,125.61,118.58,0.0724,0.0977,0.25,0.69,36.33,35.82,24.13,24.34,6.8,6.8,0.07,,40.011,5.649,0.545,0.506,99.039,98.876,10.152,-0.455
55,FK,OFF,REEF,2/12/2009,12:37,256,Bahia Honda Offshore,24.585,-81.2341,29.45,0.0762,0.0435,0.0544,0.0356,0.0218,0.008,0.3783,0.1026,15.4822,13.7373,0.4546,0.1462,15.0276,13.5911,0.1661,0.1997,0.012,0.0454,,,0.28,,107.78,97.34,0.1886,0.255,0.43,1.47,36.4,35.99,22.66,21.89,6.98,7.09,0.08,,93.205,37.741,2.737,0.413,99.87,100.23,9.768,-0.07
56,FK,OFF,REEF,5/12/2009,12:55,256,Bahia Honda Offshore,24.585,-81.2341,24.99,0.0277,0.0821,0.0166,0.0683,0.0111,0.0138,0.173,0.0765,14.7318,7.4082,0.2007,0.1586,14.5311,7.2496,0.1402,0.1363,0.0338,0.0288,,,0.21,,82.72,78.38,0.0731,0.257,0.15,0.67,36.05,35.52,27.14,25.56,6.48,6.67,0.02,,105.088,5.936,1.432,0.363,97.039,98.089,57.244,0.176
57,FK,OFF,REEF,7/17/2009,11:30,256,Bahia Honda Offshore,24.585,-81.2341,19.24,0.0739,1.2742,0.0552,1.194,0.0188,0.0802,0.0368,0.4587,11.1966,11.2479,0.1107,1.7329,11.0859,9.515,0.1847,0.2393,0.0308,0.046,,,0.19,,101.97,98.88,0.2565,1.8496,0.39,1.13,36.89,37.15,30.73,30.42,6.09,6.11,0.16,,60.627,3.591,0.6,2.308,94.246,94.53,5.051,0.321
58,FK,OFF,REEF,10/14/2009,13:15,256,Bahia Honda Offshore,24.585,-81.2341,23.65,0.1641,0.2137,0.1378,0.1726,0.0263,0.041,0.1518,0.232,12.3317,11.5541,0.3159,0.4456,12.0158,11.1084,0.1156,0.1117,0.0458,0.0267,,,0.15,,98.13,89,0.091,0.0611,0.26,0.39,35.67,35.65,30.16,29.78,6.18,6.22,0.08,,106.645,6.898,2.732,0.287,94.647,94.963,14.707,0.147
